,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
1037,0,1601,16,32,23,8,6,4,3796,1,0,0,0,404436,125344,237325,41766,352,52311,17678,30751,3879,25235,9,52974,18133,81,67,103560,16717,73852,12985,40718,37395,0,468,120,93,8,834,63,8,40,13,0,1,0,0,0,0,0,0,0,0
1038,1,202,0,0,0,0,0,0,0,0,0,0,0,20482,4401,14792,1284,0,1574,974,599,0,1552,4,1805,0,2,2,4246,1257,2964,22,4522,2500,0,25,21,21,0,114,13,0,2,0,0,0,0,0,0,0,0,0,0,0
1039,0,202,0,0,0,0,0,0,0,0,0,0,0,13949,4482,6755,2710,0,1513,836,653,22,131,2,649,160,1,2,1987,974,1010,0,4506,2500,0,43,0,0,0,46,11,0,2,0,0,0,0,0,0,0,0,0,0,0
1040,1,2167,53,34,62,18,10,14,2904,11,2,0,0,669557,206205,439667,23682,1058,125482,47602,75249,2627,44885,8,106828,58694,177,84,141398,44338,89620,7435,70198,69933,2,528,203,119,15,1469,80,15,73,14,1,1,1,1,0,1,2,1,3,1
1041,0,2167,33,53,51,11,8,5,2522,3,2,1,0,624000,154890,426463,42643,1185,98993,42428,49125,7436,27305,8,109415,39141,176,139,150017,48782,98605,2627,60797,59250,0,557,137,118,6,858,77,9,79,17,0,0,0,0,1,0,0,0,2,0
1042,1,2352,53,29,84,30,11,11,3951,7,1,1,0,839296,362664,435445,41182,524,134615,79675,50080,4856,65956,13,198422,81525,204,153,183000,106397,71525,5074,73522,68295,3,604,245,136,40,1723,85,15,88,17,1,0,1,1,0,1,3,1,4,1
1043,0,2352,29,53,46,8,7,3,2954,2,1,0,0,765622,421230,308411,35977,15,148690,104411,39459,4816,35942,7,85935,24555,134,101,165767,82164,78742,4856,65149,62225,0,683,130,103,5,668,79,3,61,14,0,1,0,0,1,0,0,0,1,0
1044,1,1604,31,30,43,17,7,8,3040,5,0,0,0,464251,16629,404094,43523,1753,84241,2818,72440,8981,28907,6,62340,24384,65,82,95266,30058,60608,4596,49973,47500,1,477,120,76,24,583,66,2,35,7,0,1,1,0,1,0,1,0,2,0
1045,0,1604,30,31,34,10,8,9,2689,4,0,0,0,429432,118985,269552,40893,755,72744,28387,39758,4597,39527,31,73735,19937,76,108,107896,4000,94912,8979,46652,41210,0,455,118,77,12,1361,68,11,32,5,1,0,0,0,0,0,0,0,1,0
1046,1,1412,29,25,35,15,8,6,2477,3,0,0,0,488876,28182,408919,51769,2072,68431,8866,54436,5124,26590,10,63199,52425,106,98,87218,24832,60336,2046,48194,42510,1,453,174,111,14,852,64,4,47,10,0,1,1,0,0,1,1,0,1,2
