,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
308,1,1086,20,13,30,11,8,5,2553,3,1,0,0,322993,126218,167559,29214,1425,42031,19657,19743,2628,15163,11,39138,33251,70,59,49457,4298,41488,3664,38459,28950,1,456,105,61,17,598,55,10,35,9,1,1,1,0,1,1,1,0,2,1
309,0,1086,13,20,16,6,5,3,2514,1,0,0,0,233475,18198,193257,22017,421,28369,3633,22067,2665,8607,8,36105,4865,68,76,53225,20808,29784,2627,29713,28850,0,381,78,60,0,564,50,11,29,8,0,0,0,0,0,0,0,0,0,0
310,1,1044,14,8,17,8,4,3,539,0,0,0,0,325042,68825,237241,18973,539,32634,13482,18294,853,15604,9,21872,37796,69,120,43810,12286,30490,1033,35228,32000,1,451,100,60,18,857,53,10,27,13,1,1,1,0,1,1,1,0,2,1
311,0,1044,8,14,7,4,2,2,2335,0,0,0,0,202570,90285,108026,4258,656,24580,11165,12381,1033,8008,6,20651,1362,37,42,42904,15060,26989,853,23913,20450,0,300,75,63,1,624,45,6,54,2,0,0,0,0,0,0,0,0,0,0
312,1,1948,41,28,85,16,10,12,3124,5,1,0,0,671563,163348,441793,66419,956,129896,40049,74444,15397,55188,12,147745,82984,166,148,151181,64830,80941,5405,66419,59410,2,624,189,107,27,804,79,14,77,22,1,1,1,1,0,0,2,2,3,0
313,0,1948,28,41,50,7,7,8,3305,2,1,0,0,627879,322361,281484,24030,1512,115262,61112,48742,5405,39066,11,150865,30578,220,157,150194,41579,93216,15396,57604,55335,0,669,167,117,11,1097,74,26,73,32,0,0,0,0,1,1,0,0,2,1
314,1,2109,32,13,62,26,7,5,6660,3,0,0,0,748465,423633,273926,50898,0,96636,51126,40449,5055,41243,9,84650,89839,267,134,113559,48941,62113,2497,68220,60290,1,777,215,130,31,1705,81,28,89,65,0,0,1,1,1,0,1,1,5,1
315,0,2109,13,32,26,7,7,2,3013,2,0,0,0,728169,269787,398899,59476,758,78338,45488,30345,2499,30368,9,106723,33786,236,157,121440,52731,63651,5054,54590,53735,0,762,191,145,4,1322,72,51,131,46,1,1,0,0,0,1,0,0,0,1
316,1,2251,31,19,51,19,5,6,4748,1,0,0,0,919818,315358,566217,38241,591,122077,42010,74865,5199,53194,12,83684,82344,218,71,116799,28985,83608,4200,70477,62175,1,775,291,195,33,1028,85,26,71,37,1,0,0,1,0,0,1,2,3,0
317,0,2251,19,31,29,8,4,5,5121,0,0,0,0,746127,231432,466237,48455,1441,73604,24596,44803,4202,48016,11,143328,56949,201,100,149056,44107,99746,5197,60776,59985,1,697,234,164,7,1650,76,35,99,24,0,1,1,0,1,1,1,0,3,2
318,1,846,54,5,36,44,14,8,1896,9,2,1,1,344408,16534,304499,23371,1214,64267,2743,57976,3546,9414,6,22504,33737,12,50,36301,11153,25040,105,38414,26350,1,289,136,45,58,1242,51,0,8,0,1,1,1,0,1,1,1,0,1,1
319,0,846,5,54,7,2,3,1,1025,1,0,0,0,51516,21036,28748,1730,304,18456,9687,8661,105,1363,4,26077,738,0,47,69188,2744,62894,3546,17285,15900,0,107,0,0,0,329,37,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,1662,38,33,22,16,8,8,2389,2,1,0,0,612664,111912,437203,63543,1210,95930,27866,58565,9494,31875,7,85530,63233,120,106,114554,25473,84399,4676,56957,57830,3,483,233,133,54,1278,72,22,49,10,0,1,1,1,0,1,3,1,1,2
321,0,1662,33,38,30,14,6,10,2975,1,0,0,0,468959,74135,370793,24028,1044,81496,22651,54164,4679,37097,8,80037,22111,98,103,124255,29310,85446,9494,50008,47943,0,512,113,76,8,667,70,13,39,19,1,0,0,0,1,0,0,0,3,0
322,1,1127,29,12,22,15,6,8,2898,3,1,0,0,430567,127878,271514,31170,2139,52946,20858,30823,1263,29578,8,42282,32420,81,45,67241,12544,50938,3753,41297,36483,0,461,151,85,31,355,58,16,34,8,0,1,0,0,1,0,0,0,2,0
323,0,1127,12,29,10,6,7,3,1754,2,0,0,0,231890,41953,155551,34382,392,43564,9407,30400,3754,10458,8,34894,13795,59,55,64562,21465,41832,1263,30146,32575,0,386,64,40,11,326,49,10,31,8,1,0,0,0,0,1,0,0,0,1
324,1,1390,30,19,35,24,7,5,3387,2,1,0,0,463827,157825,271071,34927,435,62288,26126,31767,4390,26640,6,74863,63824,97,77,88683,21387,61690,5602,48418,43050,1,491,169,103,15,1188,66,8,37,9,0,1,1,1,0,0,1,1,2,1
325,0,1390,19,30,32,7,6,3,1753,1,0,0,0,406016,88142,273139,44729,727,58301,19433,33260,5604,18954,10,44589,22249,72,67,83777,28189,51196,4388,40451,35850,0,478,111,80,4,872,58,7,30,8,1,0,0,0,1,1,0,0,1,1
