,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
707,0,2063,25,37,23,12,7,5,3879,3,0,0,0,652936,195335,418577,39017,525,86160,31333,47039,7782,33745,6,79009,43196,242,111,130541,52787,72208,5543,57008,55290,0,673,198,140,5,1366,73,22,81,41,0,0,0,0,1,1,0,0,3,1
708,1,1795,38,18,73,21,7,10,3763,3,0,0,0,637151,97745,508616,30788,470,92121,29162,58609,4348,44606,9,80150,70811,156,106,103419,43939,57141,2334,62968,55610,2,598,209,127,36,641,75,20,60,24,1,1,1,1,1,1,2,1,3,1
709,0,1795,18,38,30,7,5,5,3052,2,0,0,0,434981,213686,208869,12424,406,68766,40940,25488,2336,14944,11,90227,7177,149,129,108931,29877,74630,4421,45147,42000,0,567,102,78,0,1055,66,16,63,20,0,0,0,0,0,0,0,0,1,0
710,1,1423,20,7,30,14,5,5,3702,1,0,0,0,548001,240007,235684,72308,1213,67017,34083,22198,10733,25968,7,42789,66628,100,71,65052,8105,56358,588,48324,40360,1,574,156,89,13,884,66,7,44,15,1,1,1,0,1,1,1,0,3,2
711,0,1423,7,20,9,3,4,1,3253,1,0,0,0,418381,64884,339842,13653,650,38622,6102,31931,588,27981,9,50249,17573,80,62,94180,35428,48016,10732,37112,35100,0,534,140,103,21,929,60,7,41,8,0,0,0,0,0,0,0,0,0,0
712,1,1168,23,10,29,16,6,5,1853,2,0,0,0,420444,128454,269083,22901,1044,44968,21473,21116,2375,26663,6,35684,56221,93,44,54769,14430,38715,1623,42368,36435,1,448,151,90,19,400,58,13,41,11,1,1,1,0,1,1,1,0,3,2
713,0,1168,10,23,20,8,4,3,2797,1,0,0,0,249030,98267,132753,18007,329,31292,12724,16943,1623,13937,7,29182,2404,67,78,58010,23154,32477,2374,29888,28175,0,394,95,74,8,428,50,9,30,11,0,0,0,0,0,0,0,0,0,0
714,1,1416,23,7,23,18,7,5,1964,1,1,0,0,433322,148031,244228,41062,496,41152,16675,21866,2609,17067,7,53140,46223,112,77,61544,24417,35889,1234,44224,38925,0,546,158,80,20,1463,63,10,48,11,1,1,0,0,1,1,0,0,3,2
715,0,1416,7,23,6,2,3,1,2878,0,0,0,0,400606,201724,174936,23944,586,44007,23626,19146,1234,10704,7,29114,22312,91,51,60964,19214,39137,2607,33988,31375,0,515,99,96,0,611,57,13,39,15,0,0,0,0,0,0,0,0,0,0
716,1,1497,41,28,47,16,9,14,2155,3,1,1,0,498781,178390,266851,53533,436,84487,35901,41555,7028,31528,7,65222,47525,120,65,98892,13642,78770,6474,54811,49563,1,536,162,109,6,609,68,10,43,14,1,1,1,0,1,1,1,0,3,1
717,0,1497,28,41,43,11,7,7,1747,3,0,0,0,390641,40095,310932,39608,2506,65710,10923,48308,6475,16713,10,66235,29608,89,83,100883,38370,55353,7156,44699,42200,0,457,119,104,0,744,63,14,44,8,0,0,0,0,0,0,0,0,0,1
718,1,948,19,4,18,16,8,3,2802,2,1,1,0,278533,72785,185660,20085,687,42314,13556,25371,3384,11714,8,28155,32016,70,58,35535,10004,24134,1393,33517,25125,0,384,96,61,4,614,51,12,32,4,1,1,0,0,1,1,0,0,2,1
719,0,948,4,19,6,2,1,2,2083,0,0,0,0,176017,98487,52266,25260,0,18919,8910,8612,1394,18111,8,29806,3549,33,46,57656,15495,38773,3383,21350,17785,0,249,96,83,0,544,43,5,19,5,0,0,0,0,0,0,0,0,0,0
720,1,2051,45,27,70,21,7,9,3971,4,0,0,0,773415,220959,511141,41312,1783,126871,44979,70392,11495,57950,23,101924,69279,161,162,133942,42799,81156,9980,68364,62145,1,627,238,150,27,1333,84,11,74,20,0,0,1,1,0,0,1,1,3,0
721,0,2051,27,45,34,12,5,6,2978,2,0,0,0,703032,175964,417952,109109,1223,97049,40596,47467,8982,51851,12,96840,50153,173,98,155473,45810,98162,11494,60807,57200,0,685,161,116,4,1085,76,12,61,27,1,1,0,0,1,1,0,0,2,2
722,1,1717,27,14,25,14,8,8,3793,3,0,0,0,662005,225639,411402,24960,740,71123,41417,25507,4195,28182,6,60540,69149,144,236,82286,22493,57890,1903,59588,48495,3,687,220,127,34,1407,77,10,58,22,0,1,1,1,1,0,3,1,4,0
723,0,1717,14,27,21,8,5,2,3344,1,0,0,0,517079,124248,347355,45469,972,50292,19565,28822,1903,18104,9,68347,19086,140,88,87521,42407,40682,4428,46453,45068,0,676,128,104,0,788,67,10,65,18,1,0,0,0,0,1,0,0,0,1
