,team_win,gameDuration,avg__stats_kills,avg__stats_deaths,avg__stats_assists,avg__stats_largestKillingSpree,avg__stats_largestMultiKill,avg__stats_killingSprees,avg__stats_longestTimeSpentLiving,avg__stats_doubleKills,avg__stats_tripleKills,avg__stats_quadraKills,avg__stats_pentaKills,avg__stats_totalDamageDealt,avg__stats_magicDamageDealt,avg__stats_physicalDamageDealt,avg__stats_trueDamageDealt,avg__stats_largestCriticalStrike,avg__stats_totalDamageDealtToChampions,avg__stats_magicDamageDealtToChampions,avg__stats_physicalDamageDealtToChampions,avg__stats_trueDamageDealtToChampions,avg__stats_totalHeal,avg__stats_totalUnitsHealed,avg__stats_damageSelfMitigated,avg__stats_damageDealtToObjectives,avg__stats_visionScore,avg__stats_timeCCingOthers,avg__stats_totalDamageTaken,avg__stats_magicalDamageTaken,avg__stats_physicalDamageTaken,avg__stats_trueDamageTaken,avg__stats_goldEarned,avg__stats_goldSpent,avg__stats_inhibitorKills,avg__stats_totalMinionsKilled,avg__stats_neutralMinionsKilled,avg__stats_neutralMinionsKilledTeamJungle,avg__stats_neutralMinionsKilledEnemyJungle,avg__stats_totalTimeCrowdControlDealt,avg__stats_champLevel,avg__stats_visionWardsBoughtInGame,avg__stats_wardsPlaced,avg__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
1422,1,1158,8.8,4.0,8.2,4.6,1.6,1.8,404.2,0.6,0.2,0.0,0.0,47811.6,5693.8,37350.4,4766.8,107.8,11593.2,1191.0,9310.8,1091.0,4631.4,1.2,6254.6,4005.2,4.8,12.0,12745.8,2676.0,9432.0,636.4,8106.0,6545.0,0.0,51.6,15.2,7.2,2.4,93.6,11.4,0.0,2.2,0.4,1,1,0,0,1,1,0,0,2,1
1423,0,1158,3.8,8.8,1.6,2.0,1.2,0.8,299.4,0.4,0.0,0.0,0.0,45224.4,11041.2,28369.4,5813.0,70.0,9017.2,2447.0,5933.2,636.6,2082.8,1.0,6372.6,2763.0,3.8,3.0,15015.2,1277.4,12645.8,1091.0,5809.2,5371.0,0.0,44.6,11.2,8.8,0.2,29.6,9.8,0.0,2.6,0.0,0,0,0,0,0,0,0,0,0,0
1424,1,2079,5.2,4.4,4.4,2.6,1.6,1.2,719.2,0.8,0.4,0.0,0.0,142010.4,24534.2,90851.0,26624.0,177.8,12967.2,3785.2,6912.0,2269.4,5905.2,2.0,15899.0,17647.2,24.2,16.2,21183.6,9623.0,10855.6,704.6,12563.0,11447.0,0.6,136.6,40.0,23.2,3.4,190.0,16.0,2.0,11.2,1.4,0,1,1,1,1,1,3,2,3,2
1425,0,2079,4.4,5.2,9.2,2.2,1.0,0.8,841.8,0.0,0.0,0.0,0.0,113591.4,51555.0,47269.6,14766.0,99.6,14904.4,9040.4,5158.8,704.4,4276.4,1.6,9658.4,6670.4,25.0,23.4,17395.0,4300.8,10823.8,2269.2,10803.8,10427.0,0.0,114.2,23.2,19.4,0.0,203.2,14.0,0.6,11.4,2.4,1,0,0,0,0,0,0,0,2,0
1426,1,2463,7.8,8.6,13.8,2.2,1.4,2.0,561.2,1.0,0.0,0.0,0.0,178931.6,77138.0,92160.8,9632.2,269.8,31838.6,16620.2,12537.2,2680.2,8890.4,1.6,35609.2,15358.2,38.0,38.0,35006.8,5921.8,25530.0,3554.4,14646.6,13935.0,0.6,135.2,44.4,28.0,5.4,189.4,17.2,0.8,14.6,3.0,1,1,0,0,1,0,3,1,4,0
1427,0,2463,8.6,7.8,15.0,3.6,2.0,2.2,577.0,1.0,0.0,0.0,0.0,179711.0,18845.0,139645.4,21219.8,312.8,28547.8,5603.8,19425.0,3518.4,15131.8,2.4,36508.4,14370.4,33.4,36.8,41228.6,17636.8,20517.8,3073.0,15045.2,15051.6,0.2,127.4,39.4,28.6,1.0,152.4,17.6,1.8,16.4,2.4,0,0,1,1,0,0,1,2,2,0
1428,1,2080,10.0,11.2,12.6,2.6,1.8,2.8,342.8,1.2,0.2,0.0,0.0,105993.6,17255.6,81497.8,7239.2,204.8,26124.2,6037.8,18163.8,1921.6,5371.0,1.4,34350.0,6003.0,16.0,32.8,29699.4,1533.6,26279.8,1884.8,13511.8,12430.0,0.2,80.4,20.2,13.6,1.6,285.8,15.6,1.2,8.8,1.0,0,0,1,0,0,0,1,0,2,0
1429,0,2080,11.0,10.0,13.4,4.2,1.6,2.6,770.4,0.8,0.0,0.0,0.0,106640.8,2791.6,97518.2,6330.2,279.2,24416.0,1113.6,21557.6,1744.4,9369.0,2.2,20712.8,4767.0,22.6,23.0,32527.4,6171.2,24433.8,1921.4,12360.4,12358.0,0.0,88.4,26.8,16.8,3.0,212.2,15.0,2.4,8.6,1.8,1,1,0,0,1,0,0,0,3,0
1430,1,1301,7.2,2.4,6.6,5.6,1.4,1.2,786.4,0.6,0.0,0.0,0.0,79846.8,18558.0,54873.0,6415.0,212.8,11644.0,1784.6,8855.0,1003.4,3886.6,2.0,8798.8,9448.6,16.8,18.0,13782.8,2648.4,9748.8,1384.6,9910.2,8825.6,0.4,78.0,27.8,15.0,4.0,112.0,12.2,1.2,6.0,1.2,1,1,1,0,1,1,2,0,3,1
1431,0,1301,2.4,7.2,3.2,0.8,1.0,0.4,400.0,0.0,0.0,0.0,0.0,44909.6,13984.8,23685.6,7238.2,88.0,7399.2,2459.2,3954.8,984.6,2797.4,1.8,9489.0,1062.2,9.4,19.8,15655.6,1905.6,12745.8,1003.0,6255.0,5449.0,0.0,57.2,14.4,12.0,0.0,168.6,10.6,0.6,5.2,0.4,0,0,0,0,0,0,0,0,0,0
1432,1,1360,6.2,3.2,9.8,3.2,1.2,2.2,560.6,0.4,0.0,0.0,0.0,72701.6,18213.2,49942.8,4544.4,148.4,13335.8,4349.4,7946.6,1039.2,4539.8,1.6,12225.8,7232.8,14.6,19.2,15061.8,2946.2,11650.6,464.4,8932.4,7537.0,0.2,86.0,21.0,15.4,1.0,121.8,12.2,0.4,7.6,0.8,0,1,1,0,1,0,1,0,2,0
1433,0,1360,3.2,6.2,2.0,0.8,1.0,0.4,529.0,0.0,0.0,0.0,0.0,52010.4,14544.4,32076.4,5389.2,78.4,9497.6,2846.8,6385.8,264.4,2872.4,1.2,11511.0,4596.0,9.4,20.0,15884.2,4648.6,10195.6,1038.6,6740.4,6015.0,0.0,60.4,19.8,13.6,1.6,178.0,11.0,0.2,5.2,0.2,1,0,0,0,0,1,0,0,0,2
1434,1,2191,12.0,10.4,12.4,3.2,1.4,3.4,398.8,0.8,0.0,0.0,0.0,118304.8,30093.2,78055.4,10155.6,88.0,27051.6,6098.0,19956.8,996.0,14823.8,1.6,30580.4,14831.0,23.8,38.4,39667.0,11313.4,27494.8,858.0,14915.0,13632.0,0.4,76.2,28.8,18.0,0.8,317.0,16.2,0.6,6.0,0.6,0,1,1,1,0,1,2,1,3,1
1435,0,2191,10.2,12.2,8.4,2.8,1.8,1.8,386.8,1.2,0.2,0.0,0.0,120704.0,24803.8,86324.2,9575.4,370.6,30513.4,10744.0,19001.4,767.4,8595.6,1.4,18337.6,8412.6,21.6,67.8,31861.4,6508.0,24356.4,995.6,13037.8,11705.0,0.2,91.2,23.0,15.8,2.4,254.2,15.0,0.4,11.6,0.6,1,0,0,0,1,0,1,0,1,1
